detector,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,mode,details
isolation_forest,-0.05890030449012547,0.5767447732751512,0.9977612144046741,0.7309639593464428,0.5979462285952507,0.6812400457035509,2526,107277,328,146180,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
lof,-0.34707629640764215,0.5672646626290738,0.9794209189941846,0.7184276931087658,0.6803073472475357,0.7931927237724599,340,109463,3015,143493,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
oneclass_svm,-104.65947155848323,0.5716024673150977,1.0,0.7274135529853358,0.538405521639798,0.6668979430467648,0,109803,0,146508,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
ensemble,0.14232496919502033,0.5774884286684675,0.9980820159991264,0.7316471530071049,0.5845726894460817,0.6866665526546551,2818,106985,281,146227,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
