model,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
Random Forest,0.988166220967079,0.9882057344398016,0.9881804919024642,0.9991460781749089,0.9998276509856217,81673,3475,2571,424903
Gradient Boosting,0.9826311774656112,0.9827397185450488,0.9826611477719979,0.997747042007448,0.9995313922814353,79770,5378,3470,424004
Balanced Random Forest,0.8634519081232755,0.8396362231819937,0.7719712527834112,0.8574558655614446,0.9603808463194343,2980,82168,38,427436
