model,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,threshold,mode,details
Random Forest,0.988166220967079,0.9882057344398016,0.9881804919024642,0.9991460781749089,0.9998276509856217,81673,3475,2571,424903,,,
Gradient Boosting,0.9826311774656112,0.9827397185450488,0.9826611477719979,0.997747042007448,0.9995313922814353,79770,5378,3470,424004,,,
Balanced Random Forest,0.8634519081232755,0.8396362231819937,0.7719712527834112,0.8574558655614446,0.9603808463194343,2980,82168,38,427436,,,
isolation_forest,0.5767447732751512,0.997761214404674,0.7309639593464428,0.5979462285952507,0.6812400457035509,2526,107277,328,146180,-0.0589003044901254,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
lof,0.5672646626290738,0.9794209189941846,0.7184276931087658,0.6803073472475357,0.7931927237724599,340,109463,3015,143493,-0.3470762964076421,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
oneclass_svm,0.5716024673150977,1.0,0.7274135529853358,0.538405521639798,0.6668979430467648,0,109803,0,146508,-104.65947155848323,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
ensemble,0.5774884286684675,0.9980820159991264,0.7316471530071049,0.5845726894460817,0.6866665526546551,2818,106985,281,146227,0.1423249691950203,index,trainval=rows[0:1025243); test=rows[1025243:1281554)
